title,id,link,totalTime,cookTime,description,imageLink,weatherTempTag,weatherConditionTag
West African Vegetable Stew,25742,http://www.campbellskitchen.com/recipes/west-african-vegetable-stew-25742,45,30,Tired of making the same old meat and potatoes stew? Here's a deliciously different vegetable stew that features an usual combination of sweet and savory ingredients that blend together beautifully with mouthwatering results.,http://www.campbellskitchen.com/recipeimages/west-african-vegetable-stew-large-25742.jpg,,
Slow Cooker Chicken Tortilla Soup,50414,http://www.campbellskitchen.com/recipes/slow-cooker-chicken-tortilla-soup-50414,270,255,"This ultra-flavorful soup is worth the wait. The slow cooker makes it easy, and the savory combination of chicken, beans, corn and picante sauce makes it absolutely delicious!",http://www.campbellskitchen.com/recipeimages/slow-cooker-chicken-tortilla-soup-large-50414.jpg,,
Thai Chicken and Vegetable Soup,61379,http://www.campbellskitchen.com/recipes/thai-chicken-and-vegetable-soup-61379,35,15,"What makes this soup taste so good? Fresh veggies, ginger-flavored broth and coconut milk. Plus, it's ready after just 15 minutes on the stove.",http://www.campbellskitchen.com/recipeimages/thai-chicken-and-vegetable-soup-large-61379.jpg,,
Slow Cooker Poblano Corn Chowder with Chicken and Chorizo,50285,http://www.campbellskitchen.com/recipes/slow-cooker-poblano-corn-chowder-with-chicken-and-chorizo-50285,435,420,"Throw all the ingredients into the slow-cooker at once, and it will make this kicked-up corn chowder for you. Plus, the smoky chorizo and the spicy poblano chilies make this soup especially delicious.",http://www.campbellskitchen.com/recipeimages/slow-cooker-poblano-corn-chowder-with-chicken-and-chorizo-large-50285.jpg,,
Chinese Hot & Sour Soup,61380,http://www.campbellskitchen.com/recipes/chinese-hot-sour-soup-61380,35,10,"10 minutes on the stove and you've got a restaurant-quality soup your whole family will love. The hot and sour broth is the key to the delicious bold flavor. Give it a try, you'll be so glad you did!",http://www.campbellskitchen.com/recipeimages/chinese-hot-sour-soup-large-61380.jpg,,
Savory Vegetable Beef Soup,23870,http://www.campbellskitchen.com/recipes/savory-vegetable-beef-soup-23870,30,20,"Yum. You can ladle up this flavorful, homemade beef and vegetable soup in just 30 minutes.",http://www.campbellskitchen.com/recipeimages/savory-vegetable-beef-soup-large-23870.jpg,,
"Ham, Potato & Cabbage Soup",50257,"http://www.campbellskitchen.com/recipes/ham,-potato-cabbage-soup-50257",70,40,"Mouthwatering, traditional flavors come together in this satisfying soup reminiscent of grandmother's kitchen.","http://www.campbellskitchen.com/recipeimages/ham,-potato-cabbage-soup-large-50257.jpg",,
Spaghetti Soup,27797,http://www.campbellskitchen.com/recipes/spaghetti-soup-27297,45,30,"This easy-to-make, heart-warming soup is as fun to eat as it is good. Try it and you'll see what we mean.",http://www.campbellskitchen.com/recipeimages/spaghetti-soup-large-27297.jpg,,
Taco Twist Soup,24955,http://www.campbellskitchen.com/recipes/taco-twist-soup-24955,35,25,This family-friendly recipe mixes pasta with the great flavors of tacos to make a hearty and delicious soup.,http://www.campbellskitchen.com/recipeimages/taco-twist-soup-large-24955.jpg,,
Roasted Tomato & Barley Soup,27076,http://www.campbellskitchen.com/recipes/roasted-tomato-barley-soup-27076,80,65,"Roasting the tomatoes, garlic and onions makes this soup especially flavorful. After the veggies are roasted, all you need is 40 minutes and you've got a robust, rustic-style soup.",http://www.campbellskitchen.com/recipeimages/roasted-tomato-barley-soup-large-27076.jpg,,
Spicy Asian Beef & Snow Pea Soup,25659,http://www.campbellskitchen.com/recipes/spicy-asian-beef-snow-pea-soup-25659,45,20,No need for takeout when you can prepare this deliciously spicy soup featuring tender-crisp vegetables and sawtayed sirloin steak strips.,http://www.campbellskitchen.com/recipeimages/spicy-asian-beef-snow-pea-soup-large-25659.jpg,,
Sausage & Spinach Soup,26151,http://www.campbellskitchen.com/recipes/sausage-spinach-soup-26151,40,20,Swanson Chicken Broth is the secret to making a quick and delicious homemade soup featuring sweet Italian sausage and fresh spinach.,http://www.campbellskitchen.com/recipeimages/sausage-spinach-soup-large-26151.jpg,,
